document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,deleted_text,deleted_text,None,micro,None,None,None,None,0,0,0,0,0
10,deleted_text,deleted_text,None,macro,None,None,None,None,0,0,0,0,0
10,exact,list,first_reference_author_surnames,None,5,5,0,35,0.8888888888888888,0.5,1.0,0.6666666666666666,0.5
10,exact,list,first_reference_author_given_names,None,5,5,0,35,0.8888888888888888,0.5,1.0,0.6666666666666666,0.5
10,exact,list,first_reference_author_full_names,None,5,5,0,35,0.8888888888888888,0.5,1.0,0.6666666666666666,0.5
10,exact,list,None,micro,None,None,None,None,0.8888888888888888,0.5,1.0,0.6666666666666666,0.5
10,exact,list,None,macro,None,None,None,None,0.8888888888888888,0.5,1.0,0.6666666666666666,0.5
10,levenshtein,list,first_reference_author_surnames,None,7,3,0,31,0.926829268292683,0.7,1.0,0.8235294117647058,0.7
10,levenshtein,list,first_reference_author_given_names,None,5,5,0,31,0.8780487804878049,0.5,1.0,0.6666666666666666,0.5
10,levenshtein,list,first_reference_author_full_names,None,7,3,0,31,0.926829268292683,0.7,1.0,0.8235294117647058,0.7
10,levenshtein,list,None,micro,None,None,None,None,0.9105691056910569,0.6333333333333333,1.0,0.7755102040816326,0.6333333333333333
10,levenshtein,list,None,macro,None,None,None,None,0.910569105691057,0.6333333333333333,1.0,0.7712418300653594,0.6333333333333333
10,exact,partial_list,affiliation_text,None,0,26,1,3154,0.9915121031122288,0.0,0.0,0,0.0
10,exact,partial_list,body_section_titles,None,17,66,8,3090,0.9767368751964791,0.20481927710843373,0.68,0.3148148148148148,0.18681318681318682
10,exact,partial_list,table_strings,None,0,0,20,3161,0.9937126689720214,0,0.0,0,0.0
10,exact,partial_list,table_labels,None,0,0,11,3170,0.9965419679346118,0,0.0,0,0.0
10,exact,partial_list,table_captions,None,0,0,11,3170,0.9965419679346118,0,0.0,0,0.0
10,exact,partial_list,table_label_captions,None,0,0,11,3170,0.9965419679346118,0,0.0,0,0.0
10,exact,partial_list,figure_labels,None,0,0,24,3157,0.9924552027664256,0,0.0,0,0.0
