document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,deleted_text,deleted_text,None,micro,None,None,None,None,0,0,0,0,0
10,deleted_text,deleted_text,None,macro,None,None,None,None,0,0,0,0,0
10,exact,list,first_reference_author_surnames,None,4,6,0,38,0.875,0.4,1.0,0.5714285714285715,0.4
10,exact,list,first_reference_author_given_names,None,4,6,0,38,0.875,0.4,1.0,0.5714285714285715,0.4
10,exact,list,first_reference_author_full_names,None,4,6,0,38,0.875,0.4,1.0,0.5714285714285715,0.4
10,exact,list,None,micro,None,None,None,None,0.875,0.4,1.0,0.5714285714285715,0.4
10,exact,list,None,macro,None,None,None,None,0.875,0.4000000000000001,1.0,0.5714285714285715,0.4000000000000001
10,levenshtein,list,first_reference_author_surnames,None,6,4,0,34,0.9090909090909091,0.6,1.0,0.7499999999999999,0.6
10,levenshtein,list,first_reference_author_given_names,None,4,6,0,34,0.8636363636363636,0.4,1.0,0.5714285714285715,0.4
10,levenshtein,list,first_reference_author_full_names,None,6,4,0,34,0.9090909090909091,0.6,1.0,0.7499999999999999,0.6
10,levenshtein,list,None,micro,None,None,None,None,0.8939393939393939,0.5333333333333333,1.0,0.6956521739130436,0.5333333333333333
10,levenshtein,list,None,macro,None,None,None,None,0.8939393939393939,0.5333333333333333,1.0,0.6904761904761904,0.5333333333333333
10,exact,partial_list,affiliation_text,None,0,0,23,3678,0.9937854633882734,0,0.0,0,0.0
10,exact,partial_list,body_section_titles,None,38,35,8,3620,0.9883815185085112,0.5205479452054794,0.8260869565217391,0.6386554621848739,0.4691358024691358
10,exact,partial_list,table_strings,None,0,18,8,3675,0.9929748716563092,0.0,0.0,0,0.0
10,exact,partial_list,table_labels,None,1,14,3,3683,0.9954066468522021,0.06666666666666667,0.25,0.10526315789473685,0.05555555555555555
10,exact,partial_list,table_captions,None,3,15,1,3682,0.9956768440961902,0.16666666666666666,0.75,0.27272727272727276,0.15789473684210525
10,exact,partial_list,table_label_captions,None,1,18,1,3681,0.9948662523642259,0.05263157894736842,0.5,0.09523809523809525,0.05
